,TP9,AF7,AF8,TP10,Right AUX,timestamps
410,229.492,41.992,234.375,147.949,-61.035,1730817201.138
411,-71.289,44.922,-1000.000,-135.742,-30.762,1730817201.143
412,-236.328,41.992,-868.652,-212.402,25.879,1730817201.148
413,-40.039,39.062,299.316,27.832,78.613,1730817201.152
414,266.113,40.527,-806.641,270.996,56.152,1730817201.157
415,256.348,46.387,402.344,187.988,52.734,1730817201.162
416,-40.039,51.270,-901.367,-105.469,80.566,1730817201.166
417,-239.746,49.805,-991.699,-222.168,36.133,1730817201.171
418,-78.125,45.898,144.043,-2.441,43.945,1730817201.176
419,242.676,41.504,-843.262,254.883,19.043,1730817201.180
420,284.180,42.969,586.914,204.102,58.594,1730817201.167
421,12.207,46.387,-655.273,-56.641,63.965,1730817201.171
422,-223.145,43.945,-1000.000,-208.008,-41.992,1730817201.176
423,-121.582,36.133,-97.168,-53.223,12.207,1730817201.180
424,200.684,39.062,-891.602,224.609,59.082,1730817201.185
425,292.480,39.551,767.578,232.910,35.156,1730817201.190
426,30.762,32.715,-458.496,-42.969,40.039,1730817201.194
427,-224.609,31.250,-1000.000,-220.703,15.625,1730817201.199
428,-149.902,31.250,-159.668,-81.055,28.320,1730817201.203
429,173.828,30.273,-918.945,213.867,5.371,1730817201.208
430,309.082,30.273,855.957,265.625,18.555,1730817201.213
431,81.543,36.133,-329.102,0.488,63.965,1730817201.217
432,-204.102,40.039,-1000.000,-218.262,-11.230,1730817201.202
433,-187.012,36.133,-316.895,-117.676,-62.988,1730817201.207
434,126.465,36.621,982.910,182.129,1.953,1730817201.212
435,312.988,39.551,985.352,273.926,2.441,1730817201.216
436,122.559,41.504,-131.348,45.410,-18.555,1730817201.221
437,-174.805,40.527,-1000.000,-187.988,5.859,1730817201.225
438,-203.613,29.297,-505.371,-137.207,-36.621,1730817201.230
439,95.215,29.297,784.180,156.738,0.977,1730817201.234
440,321.289,35.156,-876.465,294.922,67.871,1730817201.239
441,167.969,39.551,44.434,86.914,34.668,1730817201.244
442,-141.113,42.969,-1000.000,-175.781,4.395,1730817201.248
443,-216.309,38.574,-601.562,-167.969,-2.930,1730817201.253
444,45.410,32.715,673.828,107.910,13.672,1730817201.239
445,294.922,35.645,-840.332,277.344,9.766,1730817201.243
446,182.129,38.086,101.562,95.215,-18.066,1730817201.248
447,-131.348,36.133,-1000.000,-176.270,37.598,1730817201.252
